Date,Ticker,Weights
2017-01-31,ENT LN Equity,0.006158
2017-01-31,ML FP Equity,0.004721
2017-01-31,MC FP Equity,0.004596
2017-01-31,BRBY LN Equity,0.004235
2017-01-31,PAH3 GY Equity,0.003414
2017-01-31,GKN LN Equity,0.003303
2017-01-31,CCL LN Equity,0.002974
2017-01-31,CEC GY Equity,0.002908
2017-01-31,BMW GY Equity,0.00282
2017-01-31,VOW3 GY Equity,0.002782
2017-01-31,JM SS Equity,0.002714
2017-01-31,GN DC Equity,0.002689
2017-01-31,CPG LN Equity,0.002517
2017-01-31,AVOL SW Equity,0.002394
2017-01-31,ELIOR FP Equity,0.002374
2017-01-31,UG FP Equity,0.002302
2017-01-31,MONC IM Equity,0.002106
2017-01-31,IHG LN Equity,0.002079
2017-01-31,MBG GY Equity,0.002005
2017-01-31,RMS FP Equity,0.001864
2017-01-31,TLW LN Equity,0.010267
2017-01-31,SUBC NO Equity,0.009427
2017-01-31,TEN IM Equity,0.007947
2017-01-31,OMV AV Equity,0.003448
2017-01-31,WG/ LN Equity,0.00178
2017-01-31,REP SQ Equity,0.00075
2017-01-31,BP/ LN Equity,9.2e-05
2017-01-31,DL NA Equity,0.010855
2017-01-31,RBI AV Equity,0.010821
2017-01-31,GLE FP Equity,0.009143
2017-01-31,ACA FP Equity,0.007797
2017-01-31,BNP FP Equity,0.007521
2017-01-31,STB NO Equity,0.00747
2017-01-31,III LN Equity,0.007281
2017-01-31,MAP SQ Equity,0.007246
2017-01-31,CNP FP Equity,0.007032
2017-01-31,HSBA LN Equity,0.006197
2017-01-31,BARC LN Equity,0.005989
2017-01-31,KN FP Equity,0.005907
2017-01-31,ARLN GY Equity,0.00586
2017-01-31,DNB NO Equity,0.005511
2017-01-31,INGA NA Equity,0.005269
2017-01-31,RSA LN Equity,0.005057
2017-01-31,SAN SQ Equity,0.004798
2017-01-31,EXO IM Equity,0.004476
2017-01-31,CABK SQ Equity,0.004195
2017-01-31,NDA SS Equity,0.00391
2017-01-31,STAN LN Equity,0.003891
2017-01-31,DBK GY Equity,0.003592
2017-01-31,BKIA SQ Equity,0.003463
2017-01-31,SWEDA SS Equity,0.003127
2017-01-31,ZURN SW Equity,0.002985
2017-01-31,AGN NA Equity,0.002885
2017-01-31,MF FP Equity,0.002863
2017-01-31,SEBA SS Equity,0.002812
2017-01-31,SLHN SW Equity,0.002471
2017-01-31,PRU LN Equity,0.00244
2017-01-31,SHBA SS Equity,0.002437
2017-01-31,INVP LN Equity,0.002301
2017-01-31,US IM Equity,0.002234
2017-01-31,KBC BB Equity,0.002004
2017-01-31,PGHN SW Equity,0.001886
2017-01-31,INDUA SS Equity,0.001841
2017-01-31,CS FP Equity,0.001841
2017-01-31,NN NA Equity,0.001821
2017-01-31,ABN NA Equity,0.001715
2017-01-31,LUNDB SS Equity,0.001708
2017-01-31,INVEB SS Equity,0.001509
2017-01-31,DANSKE DC Equity,0.001474
2017-01-31,JYSK DC Equity,0.001323
2017-01-31,BWO AV Equity,0.008836
2017-01-31,DWNI GY Equity,0.006467
2017-01-31,FABG SS Equity,0.005587
2017-01-31,CAST SS Equity,0.00544
2017-01-31,GFC FP Equity,0.004998
2017-01-31,SGRO LN Equity,0.004836
2017-01-31,COFB BB Equity,0.004048
2017-01-31,SHB LN Equity,0.004035
2017-01-31,COV FP Equity,0.003629
2017-01-31,ICAD FP Equity,0.002647
2017-01-31,CPI AV Equity,0.002637
2017-01-31,MRO LN Equity,0.033177
2017-01-31,WEIR LN Equity,0.01449
2017-01-31,AHT LN Equity,0.009819
2017-01-31,SIG LN Equity,0.008075
2017-01-31,SAND SS Equity,0.006665
2017-01-31,1CNHI IM Equity,0.005791
2017-01-31,HOT GY Equity,0.005459
2017-01-31,ATCOA SS Equity,0.00504
2017-01-31,SMIN LN Equity,0.00444
2017-01-31,2462936D LN Equity,0.00432
2017-01-31,RXL FP Equity,0.004297
2017-01-31,DHL GY Equity,0.003818
2017-01-31,VOLVB SS Equity,0.00346
2017-01-31,SIE GY Equity,0.003324
2017-01-31,LDO IM Equity,0.003323
2017-01-31,MAERSKB DC Equity,0.003308
2017-01-31,SKFB SS Equity,0.003278
2017-01-31,NELES FH Equity,0.003223
2017-01-31,ROR LN Equity,0.003218
2017-01-31,MTX GY Equity,0.003005
2017-01-31,SKAB SS Equity,0.002869
2017-01-31,SAABB SS Equity,0.002741
2017-01-31,SU FP Equity,0.00272
2017-01-31,PRY IM Equity,0.002526
2017-01-31,ACS SQ Equity,0.002512
2017-01-31,RTO LN Equity,0.002432
2017-01-31,HO FP Equity,0.002339
2017-01-31,HAS LN Equity,0.002175
2017-01-31,SPX LN Equity,0.002078
2017-01-31,PNL NA Equity,0.001972
2017-01-31,EXPN LN Equity,0.001689
2017-01-31,TEP FP Equity,0.00167
2017-01-31,RAND NA Equity,0.001438
2017-01-31,TRELB SS Equity,0.001413
2017-01-31,BNR GY Equity,0.001395
2017-01-31,KSP ID Equity,0.001145
2017-01-31,SGO FP Equity,0.001052
2017-01-31,ACKB BB Equity,0.000957
2017-01-31,ADEN SW Equity,0.000874
2017-01-31,MGGT LN Equity,0.000751
2017-01-31,IMCD NA Equity,0.000697
2017-01-31,QQ/ LN Equity,0.000658
2017-01-31,GFS LN Equity,0.000619
2017-01-31,FHZN SE Equity,0.000577
2017-01-31,GF SE Equity,0.000537
2017-01-31,OSR GY Equity,0.000477
2017-01-31,BBY LN Equity,0.000477
2017-01-31,NCCB SS Equity,0.000467
2017-01-31,AAL LN Equity,0.018247
2017-01-31,OUT1V FH Equity,0.017382
2017-01-31,GLEN LN Equity,0.012172
2017-01-31,MT NA Equity,0.007501
2017-01-31,1COV GY Equity,0.006785
2017-01-31,1986986D LN Equity,0.004402
2017-01-31,BOL SS Equity,0.00414
2017-01-31,RIO LN Equity,0.003248
2017-01-31,LXS GY Equity,0.003245
2017-01-31,ANTO LN Equity,0.003237
2017-01-31,CEY LN Equity,0.00172
2017-01-31,AKE FP Equity,0.001448
2017-01-31,UPM FH Equity,0.001423
2017-01-31,VOE AV Equity,0.000774
2017-01-31,BAS GY Equity,0.000656
2017-01-31,TKA GY Equity,0.000611
2017-01-31,SOLB BB Equity,0.000417
2017-01-31,RPC LN Equity,0.000362
2017-01-31,UMI BB Equity,0.00033
2017-01-31,STERV FH Equity,0.000173
2017-01-31,NHY NO Equity,0.0
2017-01-31,CRH ID Equity,0.0
2017-01-31,ORRON SS Equity,0.0163
